KFF - Custom State Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Dist. of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Iowa,Indiana,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Status of Reopening,Proceeding (24); Paused (7); New Restrictions Imposed (13); Reopened (7),Paused,Proceeding with Reopening,New Restrictions Imposed,Paused,New Restrictions Imposed,New Restrictions Imposed,Proceeding with Reopening,New Restrictions Imposed,Proceeding with Reopening,New Restrictions Imposed,Proceeding with Reopening,Proceeding with Reopening,Paused,Proceeding with Reopening,Reopened,Proceeding with Reopening,Reopened,Proceeding with Reopening,New Restrictions Imposed,Proceeding with Reopening,Proceeding with Reopening,Proceeding with Reopening,Paused,Proceeding with Reopening,New Restrictions Imposed,Reopened,Proceeding with Reopening,Proceeding with Reopening,New Restrictions Imposed,Proceeding with Reopening,Paused,New Restrictions Imposed,Proceeding with Reopening,Paused,Reopened,Proceeding with Reopening,Reopened,New Restrictions Imposed,Proceeding with Reopening,Proceeding with Reopening,New Restrictions Imposed,Reopened,Proceeding with Reopening,New Restrictions Imposed,Proceeding with Reopening,Proceeding with Reopening,Proceeding with Reopening,Paused,New Restrictions Imposed,Reopened,Proceeding with Reopening
Stay at Home Order,Original Stay at Home Order in Place (1); Stay at Home Order Eased or Lifted (44); No Action (6),Lifted,Lifted,Lifted,-,Statewide,Rolled Back to High Risk Groups,Lifted,Lifted,Lifted,Lifted,Rolled Back to High Risk Groups,Lifted,Lifted,Lifted,-,Lifted,Lifted,Lifted,Lifted,Lifted,Lifted,Rolled Back to High Risk Groups,Lifted,Lifted,Lifted,Lifted,Lifted,-,Lifted,Lifted,Lifted,Lifted,Rolled Back to High Risk Groups,Lifted,-,Lifted,Lifted,Lifted,Lifted,Lifted,Lifted,-,Lifted,Lifted,Lifted,Lifted,Lifted,Lifted,Lifted,Lifted,-
Mandatory Quarantine for Travelers,Original Traveler Quarantine Mandate in Place (9); New Traveler Quarantine Mandate in Place (3); Traveler Quarantine Mandate Eased or Lifted (16); No Action (23),-,All Travelers,Lifted,Lifted,-,-,From Certain States (New),Lifted,-,From Certain States,-,All Travelers,Lifted,-,-,-,From Certain States,Lifted,-,All Travelers,All Travelers,All Travelers,-,-,-,-,Lifted,Rolled Back to International Travel,-,-,From Certain States (New),All Air Travelers,From Certain States (New),-,All Travelers,Lifted,Lifted,-,-,Rolled Back to Certain States,Lifted,-,-,Lifted,Lifted,Rolled Back to Certain States,-,-,Lifted,-,Lifted
Non-Essential Business Closures,Some or All Non-Essential Businesses Permitted to Reopen (43); New Business Closures or Limits (3); No Action (5),All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,All Non-Essential Businesses Permitted to Reopen,New Business Closures or Limits,-,New Business Closures or Limits,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,All Non-Essential Businesses Permitted to Reopen ,Some Non-Essential Businesses Permitted to Reopen,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,All Non-Essential Businesses Permitted to Reopen,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,All Non-Essential Businesses Permitted to Reopen,Some Non-Essential Businesses Permitted to Reopen,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Some Non-Essential Businesses Permitted to Reopen,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Some Non-Essential Businesses Permitted to Reopen,Some Non-Essential Businesses Permitted to Reopen,Some Non-Essential Businesses Permitted to Reopen,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,All Non-Essential Businesses Permitted to Reopen,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,All Non-Essential Businesses Permitted to Reopen,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Some Non-Essential Businesses Permitted to Reopen,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,All Non-Essential Businesses Permitted to Reopen,-,All Non-Essential Businesses Permitted to Reopen,New Business Closures or Limits,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Some Non-Essential Businesses Permitted to Reopen,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,All Non-Essential Businesses Permitted to Reopen,-
Large Gatherings Ban,Original Gathering Ban/Limit in Place (5); Gathering Ban/Limit Expanded or Lifted (40); New Gathering Ban/Limit in Place (5): No Action (1),Lifted,Lifted,New Limit on Large Gatherings in Place,Lifted,All Gatherings Prohibited,Expanded to New Limit Below 25,Expanded to New Limit of 25,Expanded to New Limit Above 25,Expanded to New Limit Above 25,Lifted,Expanded to New Limit Above 25,Expanded to New Limit Above 25,Lifted,Expanded to New Limit Above 25,Expanded to New Limit Above 25,Expanded to New Limit Above 25,Lifted,Expanded to New Limit Above 25,New Limit on Large Gatherings in Place,Expanded to New Limit Above 25,>10 People Prohibited,Expanded to New Limit of 25,Expanded to New Limit Above 25,>10 People Prohibited,Expanded to New Limit Below 25,Lifted,Expanded to New Limit Above 25,Expanded to New Limit of 25,Expanded to New Limit Above 25,Lifted,Expanded to New Limit Above 25,Expanded to New Limit Below 25,Expanded to New Limit Above 25,>10 People Prohibited,-,Expanded to New Limit Below 25,Lifted,New Limit on Large Gatherings in Place,Expanded to New Limit Above 25,Expanded to New Limit Below 25,Lifted,Lifted,Expanded to New Limit Above 25,New Limit on Large Gatherings in Place,Expanded to New Limit Above 25,Expanded to New Limit of 25,Expanded to New Limit Above 25,Other,New Limit on Large Gatherings in Place,Lifted,Expanded to New Limit Above 25
Restaurant Limits,Restaurants Reopened to Dine-in Service (47); Newly Closed to Dine-in Service (1); New Capacity Limits (2); No Action (1),Reopened to Dine-in Service,Reopened to Dine-in Service ,New Capacity Limits,Reopened to Dine-in Service with Capacity Limits,Newly Closed to Dine-in Service,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service ,Reopened to Dine-in Service,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service ,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service with Capacity Limits,New Capacity Limits,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service,Reopened to Dine-in Service,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service,-,Reopened to Dine-in Service,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service with Capacity Limits,Reopened to Dine-in Service,Reopened to Dine-in Service 
Bar Closures,Closed (9); Reopened (32); Newly Closed (8); New Service Limits (2),Reopened,Reopened,Newly Closed,Reopened,Newly Closed,Newly Closed,Closed,New Service Limits,Closed,Newly Closed,Reopened,Reopened,Reopened,Reopened,Reopened,Reopened,Reopened,Reopened,Newly Closed,Closed,Reopened,Closed,Newly Closed,Reopened,Reopened,Reopened,Reopened,Reopened,Newly Closed,Reopened,Closed,Closed,Reopened,Closed,Reopened,Reopened,Reopened,Reopened,Reopened,Reopened,New Service Limits,Reopened,Reopened,Newly Closed,Reopened,Reopened,Closed,Closed,Reopened,Reopened,Reopened
Face Covering Requirement,Required for General Public (25); Required for Certain Employees (17); Allows Local Officals to Require for General Public (5); No Action (7),"Required for General Public, Certain Employees",Required for Certain Employees,Required for Certain Employees; Allows Local Officials to Require for General Public,Required for Certain Employees; Allows Local Officials to Require for General Public,Required for General Public,Required for Certain Employees,Required for General Public,Required for General Public,Required for General Public,Required for Certain Employees,Required for Certain Employees,Required for General Public,-,Required for General Public,Allows Local Officals to Require for General Public,Required for Certain Employees,Required for General Public,Required for General Public,Required for General Public,Required for General Public,Required for General Public,Required for General Public,Required for General Public,Required for Certain Employees,Required for Certain Employees,-,-,Required for Certain Employees,Required for General Public,Required for Certain Employees,Required for General Public,Required for Certain Employees,Required for General Public,Required for General Public,- ,Required for Certain Employees,-,Required for General Public,Required for General Public,Required for General Public,Allows Local Officals to Require for General Public,-,Allows Local Officals to Require for General Public,Required for General Public,Required for Certain Employees,Required for Certain Employees,Required for General Public,Required for General Public,Required for General Public,-,Required for Certain Employees
Primary Election Postponement,Postponed (15); No (36),-,-,-,-,-,-,Postponed,Postponed,-,-,Postponed,-,-,-,-,Postponed,-,Postponed,Postponed,Postponed,Postponed,-,-,-,Postponed,-,-,-,-,-,Postponed,-,Postponed,-,-,Postponed,-,-,-,Postponed,-,-,-,-,-,-,-,-,Postponed,-,-
Emergency Declaration,Yes (51); No (0),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"State COVID-19 Health Policy Actions, Varies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waive Cost Sharing for COVID-19 Treatment,State Requires (3); State-Insurer Agreement (3); No Action (45),-,-,-,-,-,-,-,-,State Requires,-,-,-,State-Insurer Agreement,-,-,-,-,-,-,-,-,State Requires,State-Insurer Agreement,State-Insurer Agreement,-,-,-,-,-,-,-,State Requires,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cost Vaccine When Available,State Requires (9); State-Insurer Agreement (1); No Action (41),-,-,-,-,-,-,-,-,State Requires,-,-,-,-,-,-,-,-,State Requires,State Requires,State Requires,State Requires,State Requires,-,-,-,-,-,-,State Requires,-,-,-,State Requires,-,-,-,-,State-Insurer Agreement,-,State Requires,-,-,-,-,-,-,-,-,-,-,-
State Requires Waiver of Prior Authorization Requirements*,For COVID-19 Testing (5); For COVID-19 Testing and Treatment (6); No Action (40),-,-,-,-,-,-,-,For COVID-19 Testing and Treatment,For COVID-19 Testing and Treatment,-,-,-,-,-,-,-,-,For COVID-19 Testing,For COVID-19 Testing,For COVID-19 Testing,-,For COVID-19 Testing and Treatment,-,-,-,-,-,-,-,For COVID-19 Testing,-,-,-,-,-,-,For COVID-19 Testing and Treatment,-,For COVID-19 Testing,For COVID-19 Testing and Treatment,-,-,-,-,-,-,-,For COVID-19 Testing and Treatment,-,-,-
Early Prescription Refills,State Requires (17); Expired (1); No Action (33),-,State Requires,-,-,State Requires,State Requires,-,State Requires,State Requires,State Requires,State Requires,-,-,-,-,-,-,State Requires,State Requires,State Requires,State Requires,State Requires,State Requires,-,-,-,-,-,-,State Requires,-,-,-,-,-,-,Expired,-,-,State Requires,-,-,-,-,-,-,-,State Requires,State Requires,-,-
Premium Payment Grace Period,Grace Period Extended for All Policies (2); Grace Period Extended for COVID-19 Diagnosis/Impacts Only (4); Expired (10); No Action (35),-,Expired,-,COVID-19 Diagnosis/Impacts Only,-,-,Expired,Expired,-,-,Expired,-,-,All Policies,-,-,-,-,Expired,-,-,-,-,-,Expired,-,-,-,-,-,Expired,-,COVID-19 Diagnosis/Impacts Only,Expired,-,All Policies,COVID-19 Diagnosis/Impacts Only,Expired,-,-,-,-,-,-,-,-,-,Expired,COVID-19 Diagnosis/Impacts Only,-,-
Expands Access to Telehealth Services,Yes (38); Expired (1); No (12),-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-,Yes,-,Yes,Yes,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Expired,Yes,-,Yes,-,Yes,-,Yes,Yes,Yes,Yes,Yes,-,-,-
Marketplace Special Enrollment Period (SEP),Active (5); Ended (7); No (39),-,-,-,-,Active,Ended,Ended,-,Active,-,-,-,-,-,-,-,-,-,-,-,Ended,Active,-,Ended,-,-,-,-,Ended,-,-,-,Active,-,-,-,-,-,-,Ended,-,-,-,-,-,Active,-,Ended,-,-,-
Section 1135 Waiver,Approved (51); No Action (0),Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved
Paid Sick Leave,Enacted (13); Proposed (2); No action (36),-,-,Enacted,-,Enacted,Enacted,Enacted,-,Enacted,-,-,-,-,-,-,-,-,Proposed - March 2020,-,-,Enacted,Enacted,-,-,-,-,-,-,-,-,Enacted,-,Enacted,-,-,-,-,Enacted,-,Enacted,-,-,-,-,Proposed - March 2020,Enacted,-,Enacted,-,-,-
"Adults at Higher Risk of Serious Illness if Infected with Coronavirus, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total number, adults 18 and older","246,402,480","3,684,158","527,792","5,389,431","2,231,289","29,879,585","4,301,492","2,739,381","739,951",,"16,683,102","7,748,091","1,056,723","1,282,329","9,623,149","2,336,881","4,955,934","2,124,795","3,341,735","3,435,791","1,060,936","4,556,875","5,318,415","7,649,977","4,211,344","2,185,597","4,590,784","813,505","1,404,355","2,307,514","1,059,120","6,799,427","1,575,314","15,028,787","7,785,717","560,523","8,817,672","2,879,096","3,257,427","9,798,951","814,843","3,838,837","639,915","5,105,824","20,715,876","2,189,374","490,326","6,343,962","5,733,155","1,397,752","4,415,638","431,859"
"Number at risk, adults 18 and older","92,560,223","1,588,905","172,913","2,107,495","971,477","9,952,647","1,345,398","985,861","305,395",,"7,018,513","2,803,400","412,878","464,522","3,482,300","862,351","1,976,552","807,193","1,455,749","1,445,420","451,409","1,690,631","1,837,581","3,152,031","1,428,307","929,387","1,860,608","317,546","514,118","833,620","428,938","2,354,252","619,893","5,550,169","3,038,856","194,056","3,506,796","1,175,713","1,297,341","3,898,304","312,092","1,590,048","226,086","2,121,941","7,199,553","657,278","191,781","2,275,390","2,013,681","689,770","1,612,619","157,117"
"At-risk adults, as a share of all adults ages 18 and older",38%,43%,33%,39%,44%,33%,31%,36%,41%,,42%,36%,39%,36%,36%,37%,40%,38%,44%,42%,43%,37%,35%,41%,34%,43%,41%,39%,37%,36%,41%,35%,39%,37%,39%,35%,40%,41%,40%,40%,38%,41%,35%,42%,35%,30%,39%,36%,35%,49%,37%,36%
"Total number, adults under age 65","195,281,293","2,873,170","442,335","4,143,554","1,742,217","24,302,948","3,506,700","2,148,446","562,058",,"12,389,357","6,321,701","798,667","1,006,426","7,697,443","1,819,010","3,940,531","1,683,235","2,630,671","2,736,213","792,994","3,650,537","4,215,360","5,973,998","3,354,163","1,724,625","3,590,211","615,520","1,112,641","1,833,570","821,964","5,396,351","1,211,046","11,914,579","6,137,620","450,954","6,891,542","2,280,666","2,528,112","7,547,656","639,889","2,957,890","500,965","4,031,127","17,205,161","1,846,133","371,176","5,048,192","4,590,384","1,045,095","3,459,881","336,991"
"Number at risk due to health conditions, adults under age 65","41,439,036","777,917","87,456","861,618","482,405","4,376,010","550,606","394,926","127,502",,"2,724,768","1,377,010","154,822","188,619","1,556,594","344,480","961,149","365,633","744,685","745,842","183,467","784,293","734,526","1,476,052","571,126","468,415","860,035","119,561","222,404","359,676","191,782","951,176","255,625","2,435,961","1,390,759","84,487","1,580,666","577,283","568,026","1,647,009","137,138","709,101","87,136","1,047,244","3,688,838","314,037","72,631","979,620","870,910","337,113","656,862","62,249"
Share of adults under age 65 at risk,21%,27%,20%,21%,28%,18%,16%,18%,23%,,22%,22%,19%,19%,20%,19%,24%,22%,28%,27%,23%,22%,17%,25%,17%,27%,24%,19%,20%,20%,23%,18%,21%,20%,23%,19%,23%,25%,23%,22%,21%,24%,17%,26%,21%,17%,20%,19%,19%,32%,19%,19%
"Total number, adults age 65 and older","51,121,187","810,988","85,457","1,245,877","489,072","5,576,637","794,792","590,935","177,893",,"4,293,745","1,426,390","258,056","275,903","1,925,706","517,871","1,015,403","441,560","711,064","699,578","267,942","906,338","1,103,055","1,675,979","857,181","460,972","1,000,573","197,985","291,714","473,944","237,156","1,403,076","364,268","3,114,208","1,648,097","109,569","1,926,130","598,430","729,315","2,251,295","174,954","880,947","138,950","1,074,697","3,510,715","343,241","119,150","1,295,770","1,142,771","352,657","955,757","94,868"
"Older adults, as a share of all at-risk adults",55%,51%,49%,59%,50%,56%,59%,60%,58%,,61%,51%,63%,59%,55%,60%,51%,55%,49%,48%,59%,54%,60%,53%,60%,50%,54%,62%,57%,57%,55%,60%,59%,56%,54%,56%,55%,51%,56%,58%,56%,55%,62%,51%,49%,52%,62%,57%,57%,51%,59%,60%
"Adults Reporting Not Seeing a Doctor in the Past 12 Months Because of Cost, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Adults,12.90%,16.20%,13.60%,13.30%,14.90%,11.90%,12.20%,9.20%,10.60%,7.90%,16.20%,18.20%,7.30%,15.00%,11.50%,7.70%,12.20%,12.10%,12.60%,14.80%,11.80%,11.20%,8.80%,11.80%,10.00%,17.60%,13.30%,10.10%,11.80%,14.50%,10.60%,13.10%,13.00%,11.00%,15.10%,9.30%,10.20%,14.90%,12.60%,9.40%,10.50%,15.80%,10.50%,15.80%,16.80%,13.00%,7.60%,13.00%,11.00%,14.90%,9.90%,13.20%
Male,11.60%,14.30%,12.30%,13.20%,12.60%,10.60%,10.90%,8.10%,9.90%,7.10%,14.80%,15.50%,7.40%,12.80%,10.60%,7.50%,11.30%,10.20%,12.00%,13.50%,11.00%,11.10%,8.10%,10.70%,9.20%,15.10%,12.00%,9.50%,10.20%,11.50%,10.30%,12.30%,12.60%,10.40%,12.50%,8.20%,9.00%,14.20%,11.80%,8.80%,10.70%,14.40%,8.70%,13.80%,13.80%,11.20%,7.50%,11.70%,10.10%,16.00%,8.70%,10.70%
Female,14.20%,18.00%,15.20%,13.40%,17.00%,13.10%,13.40%,10.20%,11.10%,8.50%,17.50%,20.70%,7.30%,17.20%,12.50%,8.00%,12.90%,13.90%,13.20%,16.10%,12.30%,11.30%,9.20%,12.80%,10.80%,19.90%,14.50%,10.60%,13.40%,17.40%,10.90%,13.80%,13.40%,11.50%,17.40%,10.30%,11.30%,15.60%,13.30%,10.10%,10.20%,17.10%,12.10%,17.70%,19.80%,14.90%,7.90%,14.30%,11.80%,13.80%,11.10%,15.80%
"Adults Reporting Not Seeing a Doctor in the Past 12 Months Because of Cost by Race/Ethnicity, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Adults,12.90%,16.20%,13.60%,13.30%,14.90%,11.90%,12.20%,9.20%,10.60%,7.90%,16.20%,18.20%,7.30%,15.00%,11.50%,7.70%,12.20%,12.10%,12.60%,14.80%,11.80%,11.20%,8.80%,11.80%,10.00%,17.60%,13.30%,10.10%,11.80%,14.50%,10.60%,13.10%,13.00%,11.00%,15.10%,9.30%,10.20%,14.90%,12.60%,9.40%,10.50%,15.80%,10.50%,15.80%,16.80%,13.00%,7.60%,13.00%,11.00%,14.90%,9.90%,13.20%
Non-Hispanic White,10.50%,13.70%,13.30%,9.90%,14.00%,8.90%,9.80%,6.90%,8.90%,5.10%,13.10%,15.40%,7.10%,14.00%,8.10%,6.50%,11.10%,10.80%,12.10%,13.20%,11.30%,7.40%,7.60%,10.50%,8.40%,15.00%,11.10%,9.70%,9.90%,11.20%,9.60%,8.50%,9.80%,8.10%,12.40%,7.60%,9.30%,13.90%,10.60%,8.20%,7.80%,13.10%,9.10%,14.30%,12.80%,10.80%,7.50%,10.70%,9.50%,14.40%,8.70%,12.40%
Non-Hispanic Black,16.00%,20.40%,NSD,17.70%,13.60%,10.80%,16.80%,13.20%,12.90%,8.80%,21.00%,20.70%,1.10%,NSD,17.60%,22.80%,15.20%,18.20%,14.10%,16.10%,NSD,12.10%,13.10%,16.10%,18.60%,20.20%,17.00%,NSD,19.50%,15.40%,NSD,11.40%,15.80%,11.80%,18.90%,23.10%,10.90%,16.80%,21.20%,11.40%,14.40%,20.30%,NSD,18.20%,16.00%,22.30%,NSD,14.20%,8.20%,18.60%,12.70%,NSD
Hispanic,20.20%,24.00%,NSD,20.80%,26.60%,16.80%,19.10%,17.90%,17.00%,13.00%,20.50%,28.40%,9.80%,16.90%,19.90%,15.30%,19.20%,17.00%,NSD,19.40%,NSD,31.40%,14.90%,15.00%,23.00%,NSD,34.40%,NSD,21.60%,19.80%,29.00%,27.70%,14.90%,17.70%,26.50%,22.00%,23.00%,25.10%,23.00%,17.90%,22.70%,27.70%,NSD,22.60%,22.80%,21.70%,NSD,27.80%,19.80%,NSD,20.20%,15.60%
Asian and Native Hawaiian or Pacific Islander,9.90%,NSD,NSD,NSD,NSD,7.70%,13.60%,6.00%,NSD,NSD,9.90%,12.20%,7.60%,NSD,11.50%,NSD,NSD,10.80%,NSD,NSD,NSD,8.60%,NSD,14.10%,13.90%,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,13.70%,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,NSD,8.80%,14.60%,NSD,9.90%,9.70%,NSD,NSD,NSD
American Indian/ Alaska Native,18.00%,33.30%,13.70%,11.00%,NSD,19.60%,NSD,NSD,NSD,NSD,34.10%,29.10%,NSD,29.60%,NSD,20.10%,NSD,20.50%,NSD,21.00%,NSD,NSD,NSD,15.40%,14.10%,NSD,NSD,10.70%,21.80%,NSD,NSD,NSD,14.30%,13.10%,NSD,20.00%,NSD,10.90%,NSD,NSD,NSD,28.20%,19.60%,NSD,22.50%,35.10%,NSD,NSD,13.50%,NSD,NSD,NSD
Other,17.20%,22.30%,20.40%,20.00%,23.20%,13.80%,15.90%,14.20%,15.40%,NSD,17.30%,27.30%,6.00%,NSD,18.30%,15.50%,25.80%,21.60%,NSD,27.10%,26.90%,13.70%,NSD,20.00%,15.00%,37.60%,24.00%,NSD,27.00%,18.50%,23.60%,NSD,21.00%,17.50%,18.80%,NSD,18.00%,16.80%,13.50%,17.50%,11.40%,20.00%,NSD,16.40%,17.20%,20.80%,13.30%,17.80%,17.60%,24.40%,NSD,25.80%
"Percent of Adults Without a Usual Place of Medical Care, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of Adults Without A Usual Place of Medical Care,17.30%,12.20%,22.90%,23.10%,17.10%,18.90%,20.00%,10.10%,6.80%,16.40%,21.50%,17.40%,10.00%,26.60%,16.90%,12.40%,14.80%,16.10%,23.30%,17.00%,12.60%,14.60%,7.50%,14.30%,14.30%,19.30%,16.10%,15.80%,17.10%,26.70%,11.60%,15.90%,20.80%,12.10%,16.20%,11.90%,15.60%,19.60%,23.70%,12.70%,10.10%,18.70%,12.10%,14.30%,25.40%,16.50%,2.80%,15.90%,19.70%,21.30%,9.50%,23.60%
"Community Health Center Delivery Sites and Patient Visits, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total CHCs,"1,362",15,27,20,12,177,20,16,3,8,47,35,14,14,44,14,25,18,24,34,18,17,39,38,16,20,29,14,7,7,10,23,17,62,40,4,47,20,30,43,8,23,4,29,72,13,11,26,27,27,17,6
Service Delivery Sites,"11,744",144,193,188,142,"1,740",215,290,17,66,610,265,73,115,402,80,197,91,324,287,156,129,276,302,87,227,270,65,45,45,43,129,212,760,264,26,304,99,232,306,52,200,48,207,537,60,72,166,349,342,143,14
Patient Encounters or Visits,"115,816,238","1,152,199","555,443","2,342,669","881,040","23,579,613","2,699,442","2,098,536","164,290","944,393","5,688,805","1,741,267","727,312","777,160","4,988,437","779,547","1,757,017","697,820","1,886,033","1,668,840","879,164","1,412,897","3,972,012","2,722,918","701,666","935,862","2,122,323","448,047","339,945","316,099","403,262","2,025,353","1,685,025","10,208,982","1,938,769","134,834","3,129,436","817,936","1,780,420","2,841,822","766,494","1,642,947","227,350","1,490,686","5,521,391","549,429","742,843","1,243,643","4,660,041","1,851,317","1,149,214","105,787"
"Total Hospitals, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Hospitals,"5,198",101,21,83,88,359,89,32,7,10,217,145,22,45,187,118,132,139,105,158,34,50,75,144,127,99,122,56,93,44,28,82,41,166,112,39,194,125,61,199,11,69,57,115,523,54,14,96,92,56,133,29
"Total Hospital Beds, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Hospital Beds,"792,417.00","15,278.00","1,636.00","13,846.00","9,517.00","72,511.00","10,574.00","7,194.00","2,101.00","3,114.00","54,744.00","25,114.00","2,749.00","3,396.00","32,066.00","9,423.00","18,156.00","9,659.00","14,329.00","15,272.00","3,400.00","11,577.00","15,649.00","24,949.00","13,895.00","12,071.00","18,749.00","3,542.00","6,842.00","6,493.00","2,783.00","20,901.00","3,811.00","51,927.00","21,549.00","3,235.00","33,157.00","11,144.00","6,889.00","36,730.00","2,187.00","12,120.00","4,183.00","19,387.00","65,671.00","5,767.00","1,305.00","18,065.00","12,774.00","6,868.00","12,103.00","2,015.00"
